_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG28124","15.305355300000002","-61.38673428","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28125","15.3052055","-61.38668615","Highly Damaged","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
"BLDG28126","15.30501915","-61.38613016","Highly Damaged","Damaged Buildings","nan","15.3048436,-61.3856128359359,pitch","pitch","Lindo Park, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Lindo Park,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Lindo Park"
"BLDG28127","15.30530496","-61.38804354","Highly Damaged","Damaged Buildings","nan","15.305083,-61.3854155,suburb","suburb","Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","None","None"
"BLDG28128","15.3056006","-61.385518999999995","Moderately Damaged","Damaged Buildings","nan","15.3056512,-61.38550875,yes","yes","Dominican Red Cross, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Dominican Red Cross,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","Dominican Red Cross"
"BLDG28129","15.3053959","-61.38573307","Highly Damaged","Damaged Buildings","nan","15.3048436,-61.3856128359359,pitch","pitch","Lindo Park, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Lindo Park,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Lindo Park"
"BLDG28130","15.30545198","-61.38563409","Highly Damaged","Damaged Buildings","nan","15.3048436,-61.3856128359359,pitch","pitch","Lindo Park, Federation Drive, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Lindo Park,Federation Drive,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Federation Drive","Lindo Park"
"BLDG28131","15.30563328","-61.38631947","Moderately Damaged","Damaged Buildings","nan","15.3056512,-61.38550875,yes","yes","Dominican Red Cross, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Dominican Red Cross,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","Dominican Red Cross"
"BLDG28132","15.30553487","-61.38635102","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28133","15.30573504","-61.38633717","Moderately Damaged","Damaged Buildings","nan","15.3056512,-61.38550875,yes","yes","Dominican Red Cross, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Dominican Red Cross,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","Dominican Red Cross"
