lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00250,15.23513889,-61.34236111,7.53397121,7.568222297,0.034251087,1.00
LOC00251,15.23513889,-61.34208333,7.53397121,7.568222297,0.034251087,1.00
LOC00252,15.23513889,-61.34180556,7.53397121,7.568222297,0.034251087,1.00
LOC00253,15.23513889,-61.33597222,3.813613053,3.689797482,-0.123815571,0.97
LOC00254,15.23513889,-61.33513889,3.813613053,3.689797482,-0.123815571,0.97
LOC00255,15.23513889,-61.33430556,3.813613053,3.689797482,-0.123815571,0.97
LOC00256,15.23513889,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00257,15.23513889,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00258,15.23513889,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00259,15.23513889,-61.33152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00260,15.23513889,-61.33125,3.813613053,3.689797482,-0.123815571,0.97
LOC00261,15.23541667,-61.35791667,7.53397121,7.568222297,0.034251087,1.00
LOC00262,15.23541667,-61.35680556,7.53397121,7.568222297,0.034251087,1.00
LOC00263,15.23541667,-61.34958333,7.53397121,7.568222297,0.034251087,1.00
LOC00264,15.23541667,-61.34180556,7.53397121,7.568222297,0.034251087,1.00
LOC00265,15.23541667,-61.34152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00266,15.23541667,-61.33569444,3.813613053,3.689797482,-0.123815571,0.97
LOC00267,15.23541667,-61.33486111,3.813613053,3.689797482,-0.123815571,0.97
LOC00268,15.23541667,-61.33319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00269,15.23541667,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00270,15.23541667,-61.33263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00271,15.23541667,-61.33236111,3.813613053,3.689797482,-0.123815571,0.97
LOC00272,15.23541667,-61.32319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00273,15.23569444,-61.35652778,7.53397121,7.568222297,0.034251087,1.00
LOC00274,15.23569444,-61.34180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00275,15.23569444,-61.34097222,3.813613053,3.689797482,-0.123815571,0.97
LOC00276,15.23569444,-61.34013889,3.813613053,3.689797482,-0.123815571,0.97
LOC00277,15.23569444,-61.33986111,3.813613053,3.689797482,-0.123815571,0.97
LOC00278,15.23569444,-61.33652778,3.813613053,3.689797482,-0.123815571,0.97
LOC00279,15.23569444,-61.33625,3.813613053,3.689797482,-0.123815571,0.97
LOC00280,15.23569444,-61.33597222,3.813613053,3.689797482,-0.123815571,0.97
LOC00281,15.23569444,-61.33569444,3.813613053,3.689797482,-0.123815571,0.97
LOC00282,15.23569444,-61.33541667,3.813613053,3.689797482,-0.123815571,0.97
LOC00283,15.23569444,-61.33513889,3.813613053,3.689797482,-0.123815571,0.97
LOC00284,15.23569444,-61.33486111,3.813613053,3.689797482,-0.123815571,0.97
LOC00285,15.23569444,-61.33430556,3.813613053,3.689797482,-0.123815571,0.97
